prefecture,date,city,location,longitude,latitude
山梨県,2024-04-01,都留市,大野,138.942398,35.516033
神奈川県,2024-04-02,箱根町,宮城野,139.048584,35.263847
山梨県,2024-04-02,市川三郷町,黒沢,138.466721,35.53178
山梨県,2024-04-04,市川三郷町,黒沢,138.466721,35.53178
静岡県,2024-04-05,富士宮市,佐折,138.552734,35.325047
静岡県,2024-04-07,富士宮市,貫戸,138.620285,35.193417
静岡県,2024-04-11,富士宮市,北山,138.641251,35.315876
山梨県,2024-04-11,富士河口湖町,河口,138.779053,35.543289
神奈川県,2024-04-11,相模原市,緑区佐野川,139.14183,35.651836
神奈川県,2024-04-12,松田町,寄,139.124084,35.405666
山梨県,2024-04-13,上野原市,大野,139.058258,35.623985
山梨県,2024-04-13,早川町,新倉,138.314163,35.495255
山梨県,2024-04-14,山中湖村,平野,138.891769,35.424641
神奈川県,2024-04-17,厚木市,七沢,139.266006,35.448963
山梨県,2024-04-25,甲府市,平瀬町,138.54393,35.713112
静岡県,2024-04-30,富士宮市,沼久保,138.595444,35.193901
静岡県,2024-05-01,富士宮市,内房,138.541122,35.189018
山梨県,2024-05-05,南部町,福士徳間,138.441086,35.219273
静岡県,2024-05-06,静岡市葵区,田代,138.212448,35.254257
山梨県,2024-05-06,都留市,大野,138.942398,35.516033
山梨県,2024-05-07,南部町,成島釜の口,138.399307,35.269028
静岡県,2024-05-08,富士宮市,粟倉,138.704346,35.300537
山梨県,2024-05-09,早川町,保地内,138.296951,35.43084
静岡県,2024-05-09,富士宮市,星山,138.608475,35.196812
神奈川県,2024-05-11,清川村,煤ケ谷,139.262299,35.484276
山梨県,2024-05-11,山中湖村,平野,138.891769,35.424641
山梨県,2024-05-15,市川三郷町,寺所,138.49437,35.50132
神奈川県,2024-05-17,相模原市,緑区三井,139.259048,35.598003
山梨県,2024-05-18,笛吹市,御坂町上黒駒,138.712067,35.590988
山梨県,2024-05-18,上野原市,上野原市秋山,139.067337,35.568935
山梨県,2024-05-19,笛吹市,芦川町上芦川,138.714813,35.549503
神奈川県,2024-05-19,,,,
神奈川県,2024-05-19,愛川町,半原,139.264832,35.529568
山梨県,2024-05-19,笛吹市,芦川町上芦川,138.714813,35.549503
静岡県,2024-05-19,浜松市天竜区,佐久間町上平山,137.868805,35.036392
山梨県,2024-05-20,身延町,三沢,138.472931,35.471874
山梨県,2024-05-20,笛吹市,御坂町藤野木,138.773087,35.581715
山梨県,2024-05-20,笛吹市,芦川町上芦川,138.714813,35.549503
静岡県,2024-05-21,静岡市葵区,中平,138.371826,35.173073
静岡県,2024-05-22,小山町,棚頭,138.942032,35.355148
静岡県,2024-05-22,小山町,用沢,138.924683,35.350834
山梨県,2024-05-22,早川町,湯島,138.305389,35.535999
山梨県,2024-05-22,身延町,飯富,138.435043,35.43515
神奈川県,2024-05-23,秦野市,蓑毛,139.232025,35.419514
山梨県,2024-05-24,都留市,川棚,138.899414,35.551216
山梨県,2024-05-25,富士吉田市,大明見,138.825958,35.484444
山梨県,2024-05-26,早川町,奈良田,138.276611,35.603207
山梨県,2024-05-26,忍野村,二十曲峠付近,138.847885,35.460052
山梨県,2024-05-26,富士吉田市,上暮地,138.827469,35.508064
静岡県,2024-05-27,小山町,湯船,138.965775,35.380074
山梨県,2024-05-27,山梨市,牧丘町塩平,138.687225,35.693333
神奈川県,2024-05-27,山北町,中川,139.045639,35.438549
山梨県,2024-05-28,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-05-29,身延町,三澤大道,138.472931,35.471874
山梨県,2024-05-29,山梨市,牧丘町塩平,138.687225,35.693333
神奈川県,2024-05-30,伊勢原市,日向,139.266983,35.437168
山梨県,2024-05-31,小菅村,中組地区山沢,138.940277,35.760277
静岡県,2024-06-01,静岡市清水区,大内,138.4422,35.025719
山梨県,2024-06-02,笛吹市,一宮町竹原田,138.674072,35.64793
神奈川県,2024-06-03,山北町,谷ケ,139.037628,35.366077
山梨県,2024-06-03,甲州市,塩山上萩原,138.82402,35.731625
静岡県,2024-06-04,静岡市葵区,田代,138.212448,35.254257
神奈川県,2024-06-04,伊勢原市,子易,139.27034,35.417934
山梨県,2024-06-04,忍野村,忍草,138.828659,35.458664
山梨県,2024-06-04,身延町,小原島,138.442505,35.467499
静岡県,2024-06-04,小山町,中日向,138.930466,35.379784
静岡県,2024-06-05,御殿場市,中畑,138.852234,35.331066
静岡県,2024-06-05,小山町,湯船,138.965775,35.380074
山梨県,2024-06-05,身延町,和田,138.452972,35.348892
山梨県,2024-06-05,南部町,福士鯨野,138.441086,35.219273
山梨県,2024-06-05,韮崎市,清哲町青木,138.377213,35.712566
山梨県,2024-06-05,早川町,保地内,138.296951,35.43084
静岡県,2024-06-06,静岡市葵区,平野,138.373322,35.151382
山梨県,2024-06-06,早川町,保地区,138.296951,35.43084
山梨県,2024-06-06,富士吉田市,上吉田諏訪内,138.753159,35.426395
山梨県,2024-06-06,小菅村,川池,138.940277,35.760277
神奈川県,2024-06-06,伊勢原市,三ノ塔,139.314987,35.40295
山梨県,2024-06-07,早川町,保地内,138.296951,35.43084
静岡県,2024-06-07,川根本町,犬間,138.177155,35.209225
山梨県,2024-06-07,都留市,十日市場,138.885284,35.535366
静岡県,2024-06-08,静岡市葵区,梅ケ島,138.325928,35.278023
静岡県,2024-06-08,静岡市清水区,伊佐布,138.451874,35.070965
静岡県,2024-06-08,静岡市駿河区,丸子,138.328186,34.940491
山梨県,2024-06-08,身延町,和田,138.452972,35.348892
山梨県,2024-06-08,上野原市,棡原,139.085815,35.672298
山梨県,2024-06-08,笛吹市,御坂町藤木,138.773087,35.581715
静岡県,2024-06-08,川根本町,壱町河内,138.126007,35.043808
神奈川県,2024-06-08,厚木市,七沢,139.266006,35.448963
