prefecture,date,city,location,city_cleaned,location_cleaned,longitude,latitude,longitude_cleaned,latitude_cleaned
山梨県,2024-04-01,都留市,大野,都留市,大野,138.942398,35.516033,138.942398,35.516033
神奈川県,2024-04-02,箱根町,宮城野,箱根町,宮城野,139.048584,35.263847,,
山梨県,2024-04-02,市川三郷町,黒沢,市川三郷町,黒沢,138.466721,35.53178,,
山梨県,2024-04-04,市川三郷町,黒沢,市川三郷町,黒沢,138.466721,35.53178,,
静岡県,2024-04-05,富士宮市,佐折,富士宮市,佐折,138.552734,35.325047,138.552734,35.325047
静岡県,2024-04-07,富士宮市,貫戸,富士宮市,貫戸,138.620285,35.193417,138.620285,35.193417
静岡県,2024-04-11,富士宮市,北山,富士宮市,北山,138.641251,35.315876,138.641251,35.315876
山梨県,2024-04-11,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
神奈川県,2024-04-11,相模原市,緑区佐野川,相模原市緑区,佐野川,,,139.14183,35.651836
神奈川県,2024-04-12,松田町,寄,松田町,寄,139.124084,35.405666,,
山梨県,2024-04-13,上野原市,大野,上野原市,大野,139.058258,35.623985,139.058258,35.623985
山梨県,2024-04-13,早川町,新倉,早川町,新倉,138.314163,35.495255,,
山梨県,2024-04-14,山中湖村,平野,山中湖村,平野,138.891769,35.424641,,
神奈川県,2024-04-17,厚木市,七沢,厚木市,七沢,139.266006,35.448963,139.266006,35.448963
山梨県,2024-04-25,甲府市,平瀬町,甲府市,平瀬町,138.54393,35.713112,138.54393,35.713112
静岡県,2024-04-30,富士宮市,沼久保,富士宮市,沼久保,138.595444,35.193901,138.595444,35.193901
静岡県,2024-05-01,富士宮市,内房,富士宮市,内房,138.541122,35.189018,138.541122,35.189018
山梨県,2024-05-05,南部町,福士徳間,南部町,福士徳間,,,,
静岡県,2024-05-06,静岡市葵区,田代,静岡市葵区,田代,138.212448,35.254257,138.212448,35.254257
山梨県,2024-05-06,都留市,大野,都留市,大野,138.942398,35.516033,138.942398,35.516033
山梨県,2024-05-07,南部町,成島釜の口,南部町,成島釜の口,,,,
静岡県,2024-05-08,富士宮市,粟倉,富士宮市,粟倉,138.704346,35.300537,138.704346,35.300537
山梨県,2024-05-09,早川町,保地内,早川町,保地内,,,,
静岡県,2024-05-09,富士宮市,星山,富士宮市,星山,138.608475,35.196812,138.608475,35.196812
神奈川県,2024-05-11,清川村,煤ケ谷,清川村,煤ケ谷,,,,
山梨県,2024-05-11,山中湖村,平野,山中湖村,平野,138.891769,35.424641,,
山梨県,2024-05-15,市川三郷町,寺所,市川三郷町,寺所,138.49437,35.50132,,
神奈川県,2024-05-17,相模原市,緑区三井,相模原市緑区,三井,,,139.259048,35.598003
山梨県,2024-05-18,笛吹市,御坂町上黒駒,笛吹市,御坂町上黒駒,138.712067,35.590988,138.712067,35.590988
山梨県,2024-05-18,上野原市,上野原市秋山,上野原市,上野原市秋山,,,,
山梨県,2024-05-19,笛吹市,芦川町上芦川,笛吹市,芦川町上芦川,138.714813,35.549503,138.714813,35.549503
神奈川県,2024-05-19,,,,,,,,
神奈川県,2024-05-19,愛川町,半原,愛川町,半原,139.264832,35.529568,,
山梨県,2024-05-19,笛吹市,芦川町上芦川,笛吹市,芦川町上芦川,138.714813,35.549503,138.714813,35.549503
静岡県,2024-05-19,浜松市天竜区,佐久間町上平山,浜松市天竜区,佐久間町上平山,137.868805,35.036392,137.868805,35.036392
山梨県,2024-05-20,身延町,三沢,身延町,三沢,138.472931,35.471874,,
